"","Time","Tp","Cl","pH","Redox","Leit","Trueb","Cl_2","Fm","Fm_2","EVENT"
"1",2016-08-03 11:49:00,6.5,0.17,8.36,749,211,0.011,0.118,1677,695,FALSE
"2",2016-08-03 11:50:00,6.5,0.17,8.36,749,211,0.011,0.118,1561,696,FALSE
"3",2016-08-03 11:51:00,6.5,0.17,8.35,749,211,0.011,0.117,1581,696,FALSE
"4",2016-08-03 11:52:00,6.5,0.17,8.35,749,211,0.011,0.118,1579,693,FALSE
"5",2016-08-03 11:53:00,6.5,0.17,8.35,749,211,0.011,0.118,1567,689,FALSE
"6",2016-08-03 11:54:00,6.5,0.17,8.35,749,211,0.012,0.118,1553,689,FALSE
"7",2016-08-03 11:55:00,6.5,0.17,8.35,749,211,0.011,0.118,1552,695,FALSE
"8",2016-08-03 11:56:00,6.5,0.17,8.35,749,211,0.011,0.118,1603,694,FALSE
"9",2016-08-03 11:57:00,6.5,0.17,8.34,749,211,0.011,0.12,1559,700,FALSE
"10",2016-08-03 11:58:00,6.5,0.17,8.34,749,211,0.011,0.118,1604,690,FALSE
"11",2016-08-03 11:59:00,6.5,0.17,8.34,749,211,0.011,0.118,1570,696,FALSE
"12",2016-08-03 12:00:00,6.5,0.17,8.34,749,211,0.011,0.12,1550,699,FALSE
"13",2016-08-03 12:01:00,6.5,0.17,8.34,749,211,0.011,0.118,1642,694,FALSE
"14",2016-08-03 12:02:00,6.6,0.17,8.34,749,211,0.011,0.118,1547,695,FALSE
"15",2016-08-03 12:03:00,6.5,0.17,8.34,749,211,0.011,0.12,1587,696,FALSE
"16",2016-08-03 12:04:00,6.5,0.17,8.34,749,211,0.011,0.117,1616,696,FALSE
"17",2016-08-03 12:05:00,6.5,0.17,8.34,749,211,0.015,0.118,1540,699,FALSE
"18",2016-08-03 12:06:00,6.6,0.17,8.34,749,211,0.012,0.121,1615,694,FALSE
"19",2016-08-03 12:07:00,6.6,0.17,8.34,749,211,0.011,0.118,1517,700,FALSE
"20",2016-08-03 12:08:00,6.5,0.17,8.34,749,211,0.012,0.12,1609,695,FALSE
"21",2016-08-03 12:09:00,6.6,0.18,8.35,749,211,0.011,0.118,1546,693,FALSE
"22",2016-08-03 12:10:00,6.5,0.18,8.35,749,211,0.011,0.12,1572,696,FALSE
"23",2016-08-03 12:11:00,6.6,0.18,8.34,749,211,0.011,0.118,1597,687,FALSE
"24",2016-08-03 12:12:00,6.5,0.18,8.34,749,211,0.011,0.118,1553,699,FALSE
"25",2016-08-03 12:13:00,6.5,0.18,8.35,749,211,0.011,0.118,1598,689,FALSE
"26",2016-08-03 12:14:00,6.5,0.18,8.35,749,211,0.011,0.118,1614,694,FALSE
"27",2016-08-03 12:15:00,6.5,0.18,8.35,749,211,0.011,0.117,1603,694,FALSE
"28",2016-08-03 12:16:00,6.6,0.18,8.36,749,211,0.011,0.118,1575,696,FALSE
"29",2016-08-03 12:17:00,6.6,0.18,8.36,749,211,0.013,0.118,1582,701,FALSE
"30",2016-08-03 12:18:00,6.5,0.18,8.36,749,211,0.011,0.117,1553,704,FALSE
"31",2016-08-03 12:19:00,6.6,0.18,8.36,749,211,0.011,0.117,1555,700,FALSE
"32",2016-08-03 12:20:00,6.6,0.18,8.37,749,211,0.011,0.118,1545,695,FALSE
"33",2016-08-03 12:21:00,6.6,0.17,8.37,749,211,0.011,0.118,1599,696,FALSE
"34",2016-08-03 12:22:00,6.5,0.17,8.37,749,211,0.01,0.118,1581,694,FALSE
"35",2016-08-03 12:23:00,6.5,0.18,8.38,749,211,0.011,0.116,1581,700,FALSE
"36",2016-08-03 12:24:00,6.5,0.17,8.38,749,211,0.01,0.117,1579,696,FALSE
"37",2016-08-03 12:25:00,6.5,0.18,8.37,749,211,0.01,0.114,1572,689,FALSE
"38",2016-08-03 12:26:00,6.5,0.17,8.38,749,211,0.01,0.116,1552,693,FALSE
"39",2016-08-03 12:27:00,6.5,0.17,8.38,748,211,0.01,0.117,1593,689,FALSE
"40",2016-08-03 12:28:00,6.6,0.17,8.38,749,211,0.01,0.117,1626,688,FALSE
"41",2016-08-03 12:29:00,6.5,0.17,8.39,748,211,0.01,0.116,1609,694,FALSE
"42",2016-08-03 12:30:00,6.5,0.17,8.39,749,211,0.01,0.118,1575,688,FALSE
"43",2016-08-03 12:31:00,6.6,0.17,8.39,749,211,0.01,0.117,1555,694,FALSE
"44",2016-08-03 12:32:00,6.5,0.17,8.39,748,211,0.01,0.118,1550,699,FALSE
"45",2016-08-03 12:33:00,6.5,0.17,8.39,749,211,0.01,0.114,1590,690,FALSE
"46",2016-08-03 12:34:00,6.5,0.17,8.39,748,211,0.01,0.116,1590,695,FALSE
"47",2016-08-03 12:35:00,6.5,0.17,8.39,748,211,0.01,0.117,1575,695,FALSE
"48",2016-08-03 12:36:00,6.5,0.17,8.39,749,207,0.01,0.116,1609,688,FALSE
"49",2016-08-03 12:37:00,6.6,0.17,8.39,749,207,0.011,0.116,1601,696,FALSE
"50",2016-08-03 12:38:00,6.5,0.17,8.39,747,207,0.011,0.117,1653,699,FALSE
"51",2016-08-03 12:39:00,6.5,0.17,8.39,749,207,0.01,0.117,1663,694,FALSE
"52",2016-08-03 12:40:00,6.5,0.17,8.39,749,207,0.01,0.114,1659,693,FALSE
"53",2016-08-03 12:41:00,6.5,0.17,8.39,749,207,0.01,0.117,1651,695,FALSE
"54",2016-08-03 12:42:00,6.5,0.17,8.39,748,207,0.01,0.117,1638,699,FALSE
"55",2016-08-03 12:43:00,6.5,0.17,8.38,748,207,0.01,0.118,1642,695,FALSE
"56",2016-08-03 12:44:00,6.5,0.17,8.38,749,207,0.01,0.117,1604,696,FALSE
"57",2016-08-03 12:45:00,6.6,0.17,8.38,748,205,0.01,0.118,1645,699,FALSE
"58",2016-08-03 12:46:00,6.6,0.17,8.38,748,205,0.01,0.118,1626,696,FALSE
"59",2016-08-03 12:47:00,6.5,0.17,8.37,749,207,0.011,0.117,1645,693,FALSE
"60",2016-08-03 12:48:00,6.6,0.17,8.38,749,206,0.011,0.118,1715,694,FALSE
"61",2016-08-03 12:49:00,6.6,0.17,8.37,749,205,0.011,0.118,1694,695,FALSE
"62",2016-08-03 12:50:00,6.5,0.17,8.36,749,205,0.011,0.118,1732,696,FALSE
"63",2016-08-03 12:51:00,6.5,0.17,8.36,749,207,0.011,0.118,1686,695,FALSE
"64",2016-08-03 12:52:00,6.5,0.17,8.36,750,207,0.01,0.118,1649,694,FALSE
"65",2016-08-03 12:53:00,6.5,0.17,8.36,749,207,0.011,0.118,1668,701,FALSE
"66",2016-08-03 12:54:00,6.6,0.17,8.36,749,207,0.01,0.118,1656,690,FALSE
"67",2016-08-03 12:55:00,6.6,0.17,8.36,749,207,0.011,0.117,1678,701,FALSE
"68",2016-08-03 12:56:00,6.5,0.17,8.36,749,207,0.01,0.118,1663,694,FALSE
"69",2016-08-03 12:57:00,6.5,0.17,8.35,749,207,0.01,0.118,1671,693,FALSE
"70",2016-08-03 12:58:00,6.5,0.17,8.35,749,207,0.011,0.118,1637,695,FALSE
"71",2016-08-03 12:59:00,6.5,0.17,8.36,749,207,0.01,0.117,1616,688,FALSE
"72",2016-08-03 13:00:00,6.5,0.17,8.35,749,207,0.01,0.118,1609,689,FALSE
"73",2016-08-03 13:01:00,6.6,0.17,8.35,749,207,0.01,0.118,1679,694,FALSE
"74",2016-08-03 13:02:00,6.6,0.17,8.35,749,207,0.01,0.118,1650,689,FALSE
"75",2016-08-03 13:03:00,6.5,0.17,8.35,749,207,0.01,0.118,1677,689,FALSE
"76",2016-08-03 13:04:00,6.6,0.17,8.35,750,207,0.01,0.118,1677,688,FALSE
"77",2016-08-03 13:05:00,6.5,0.17,8.35,749,207,0.011,0.117,1688,690,FALSE
"78",2016-08-03 13:06:00,6.6,0.16,8.35,750,207,0.011,0.116,1689,684,FALSE
"79",2016-08-03 13:07:00,6.5,0.16,8.35,749,207,0.011,0.118,1660,696,FALSE
"80",2016-08-03 13:08:00,6.5,0.16,8.35,750,207,0.011,0.116,1712,693,FALSE
"81",2016-08-03 13:09:00,6.5,0.16,8.35,749,207,0.01,0.116,1685,693,FALSE
"82",2016-08-03 13:10:00,6.5,0.16,8.35,750,207,0.01,0.116,1707,687,FALSE
"83",2016-08-03 13:11:00,6.6,0.16,8.35,749,207,0.01,0.118,1718,689,FALSE
"84",2016-08-03 13:12:00,6.5,0.17,8.35,749,207,0.01,0.118,1684,687,FALSE
"85",2016-08-03 13:13:00,6.5,0.17,8.35,749,207,0.01,0.118,1682,690,FALSE
"86",2016-08-03 13:14:00,6.5,0.17,8.35,749,207,0.01,0.114,1662,696,FALSE
"87",2016-08-03 13:15:00,6.6,0.16,8.35,749,207,0.01,0.118,1680,690,FALSE
"88",2016-08-03 13:16:00,6.5,0.17,8.36,749,207,0.01,0.118,1692,689,FALSE
"89",2016-08-03 13:17:00,6.5,0.17,8.35,749,207,0.01,0.118,1601,694,FALSE
"90",2016-08-03 13:18:00,6.5,0.17,8.35,749,207,0.01,0.118,1638,695,FALSE
