dataset,segment_id,length
MSL,0,201
MSL,1,111
MSL,2,101
MSL,3,36
MSL,4,21
MSL,5,201
MSL,6,641
MSL,7,651
MSL,8,71
MSL,9,151
MSL,10,201
MSL,11,121
MSL,12,101
MSL,13,537
MSL,14,1141
MSL,15,1141
MSL,16,251
MSL,17,251
MSL,18,301
MSL,19,181
MSL,20,101
MSL,21,131
MSL,22,107
MSL,23,121
MSL,24,181
MSL,25,21
MSL,26,11
MSL,27,121
MSL,28,101
MSL,29,151
MSL,30,69
MSL,31,26
MSL,32,61
MSL,33,41
MSL,34,31
MSL,35,81
SMAP,0,85
SMAP,1,111
SMAP,2,186
SMAP,3,111
SMAP,4,51
SMAP,5,41
SMAP,6,2401
SMAP,7,3806
SMAP,8,3865
SMAP,9,71
SMAP,10,3259
SMAP,11,61
SMAP,12,2740
SMAP,13,161
SMAP,14,4218
SMAP,15,3276
SMAP,16,3248
SMAP,17,51
SMAP,18,81
SMAP,19,2702
SMAP,20,51
SMAP,21,1156
SMAP,22,31
SMAP,23,477
SMAP,24,51
SMAP,25,271
SMAP,26,51
SMAP,27,244
SMAP,28,51
SMAP,29,532
SMAP,30,102
SMAP,31,41
SMAP,32,121
SMAP,33,1398
SMAP,34,3213
SMAP,35,2812
SMAP,36,321
SMAP,37,66
SMAP,38,281
SMAP,39,623
SMAP,40,351
SMAP,41,101
SMAP,42,2957
SMAP,43,41
SMAP,44,121
SMAP,45,41
SMAP,46,51
SMAP,47,31
SMAP,48,101
SMAP,49,101
SMAP,50,51
SMAP,51,116
SMAP,52,201
SMAP,53,241
SMAP,54,309
SMAP,55,1336
SMAP,56,131
SMAP,57,201
SMAP,58,111
SMAP,59,1651
SMAP,60,81
SMAP,61,448
SMAP,62,1500
SMAP,63,36
SMAP,64,1785
SMAP,65,83
SMAP,66,101
SMD,0,17
SMD,1,31
SMD,2,21
SMD,3,4
SMD,4,11
SMD,5,11
SMD,6,5
SMD,7,3
SMD,8,3
SMD,9,3
SMD,10,3
SMD,11,4
SMD,12,4
SMD,13,4
SMD,14,3
SMD,15,3
SMD,16,28
SMD,17,2
SMD,18,4
SMD,19,3
SMD,20,23
SMD,21,3
SMD,22,305
SMD,23,7
SMD,24,4
SMD,25,5
SMD,26,3
SMD,27,35
SMD,28,26
SMD,29,17
SMD,30,105
SMD,31,23
SMD,32,3
SMD,33,118
SMD,34,97
SMD,35,26
SMD,36,837
SMD,37,5
SMD,38,5
SMD,39,123
SMD,40,4
SMD,41,5
SMD,42,95
SMD,43,6
SMD,44,3
SMD,45,66
SMD,46,126
SMD,47,6
SMD,48,3
SMD,49,5
SMD,50,291
SMD,51,3
SMD,52,3
SMD,53,3
SMD,54,3
SMD,55,3
SMD,56,3
SMD,57,26
SMD,58,7
SMD,59,3
SMD,60,3
SMD,61,25
SMD,62,371
SMD,63,109
SMD,64,71
SMD,65,8
SMD,66,8
SMD,67,11
SMD,68,21
SMD,69,371
SMD,70,66
SMD,71,3
SMD,72,3
SMD,73,4
SMD,74,10
SMD,75,4
SMD,76,3
SMD,77,3
SMD,78,3
SMD,79,4
SMD,80,3
SMD,81,16
SMD,82,116
SMD,83,4
SMD,84,4
SMD,85,83
SMD,86,56
SMD,87,4
SMD,88,3
SMD,89,24
SMD,90,11
SMD,91,3
SMD,92,48
SMD,93,207
SMD,94,30
SMD,95,44
SMD,96,61
SMD,97,225
SMD,98,56
SMD,99,11
SMD,100,97
SMD,101,786
SMD,102,76
SMD,103,3
SMD,104,6
SMD,105,4
SMD,106,10
SMD,107,51
SMD,108,41
SMD,109,11
SMD,110,10
SMD,111,872
SMD,112,852
SMD,113,841
SMD,114,3
SMD,115,3
SMD,116,15
SMD,117,23
SMD,118,3
SMD,119,200
SMD,120,32
SMD,121,53
SMD,122,205
SMD,123,21
SMD,124,53
SMD,125,21
SMD,126,137
SMD,127,88
SMD,128,21
SMD,129,40
SMD,130,46
SMD,131,3
SMD,132,3
SMD,133,73
SMD,134,76
SMD,135,3
SMD,136,12
SMD,137,10
SMD,138,11
SMD,139,10
SMD,140,9
SMD,141,293
SMD,142,18
SMD,143,101
SMD,144,428
SMD,145,122
SMD,146,414
SMD,147,253
SMD,148,203
SMD,149,182
SMD,150,344
SMD,151,230
SMD,152,3
SMD,153,2
SMD,154,2
SMD,155,21
SMD,156,1215
SMD,157,91
SMD,158,3
SMD,159,901
SMD,160,16
SMD,161,15
SMD,162,26
SMD,163,31
SMD,164,3
SMD,165,41
SMD,166,4
SMD,167,31
SMD,168,35
SMD,169,63
SMD,170,18
SMD,171,311
SMD,172,7
SMD,173,6
SMD,174,5
SMD,175,8
SMD,176,4
SMD,177,5
SMD,178,398
SMD,179,5
SMD,180,5
SMD,181,12
SMD,182,5
SMD,183,7
SMD,184,5
SMD,185,7
SMD,186,5
SMD,187,4
SMD,188,5
SMD,189,4
SMD,190,3
SMD,191,6
SMD,192,4
SMD,193,3
SMD,194,4
SMD,195,3
SMD,196,8
SMD,197,3
SMD,198,4
SMD,199,8
SMD,200,3161
SMD,201,8
SMD,202,3
SMD,203,3
SMD,204,6
SMD,205,4
SMD,206,91
SMD,207,4
SMD,208,26
SMD,209,81
SMD,210,41
SMD,211,8
SMD,212,5
SMD,213,122
SMD,214,573
SMD,215,213
SMD,216,143
SMD,217,303
SMD,218,17
SMD,219,151
SMD,220,4
SMD,221,3
SMD,222,3
SMD,223,3
SMD,224,3
SMD,225,104
SMD,226,145
SMD,227,4
SMD,228,3
SMD,229,3
SMD,230,3
SMD,231,6
SMD,232,3
SMD,233,3
SMD,234,17
SMD,235,3
SMD,236,4
SMD,237,3
SMD,238,3
SMD,239,7
SMD,240,3
SMD,241,3
SMD,242,3
SMD,243,3
SMD,244,3
SMD,245,10
SMD,246,3
SMD,247,13
SMD,248,3
SMD,249,3
SMD,250,7
SMD,251,481
SMD,252,6
SMD,253,15
SMD,254,3
SMD,255,21
SMD,256,546
SMD,257,554
SMD,258,457
SMD,259,721
SMD,260,409
SMD,261,3
SMD,262,2
SMD,263,2
SMD,264,59
SMD,265,5
SMD,266,76
SMD,267,3
SMD,268,65
SMD,269,48
SMD,270,156
SMD,271,36
SMD,272,72
SMD,273,22
SMD,274,22
SMD,275,54
SMD,276,46
SMD,277,26
SMD,278,8
SMD,279,452
SMD,280,17
SMD,281,33
SMD,282,75
SMD,283,16
SMD,284,12
SMD,285,21
SMD,286,388
SMD,287,161
SMD,288,4
SMD,289,4
SMD,290,4
SMD,291,3
SMD,292,4
SMD,293,281
SMD,294,3
SMD,295,3
SMD,296,4
SMD,297,32
SMD,298,3
SMD,299,3
SMD,300,29
SMD,301,3
SMD,302,171
SMD,303,385
SMD,304,401
SMD,305,337
SMD,306,10
SMD,307,10
SMD,308,31
SMD,309,126
SMD,310,45
SMD,311,101
SMD,312,34
SMD,313,34
SMD,314,106
SMD,315,230
SMD,316,207
SMD,317,80
SMD,318,224
SMD,319,184
SMD,320,3
SMD,321,11
SMD,322,81
SMD,323,31
SMD,324,131
SMD,325,21
SMD,326,125
PSM,0,3
PSM,1,1
PSM,2,3
PSM,3,191
PSM,4,3
PSM,5,4
PSM,6,281
PSM,7,1
PSM,8,3
PSM,9,331
PSM,10,2
PSM,11,350
PSM,12,5
PSM,13,12
PSM,14,1
PSM,15,1
PSM,16,1
PSM,17,4
PSM,18,358
PSM,19,284
PSM,20,3
PSM,21,4
PSM,22,8861
PSM,23,7
PSM,24,3
PSM,25,10
PSM,26,1
PSM,27,11
PSM,28,1
PSM,29,5
PSM,30,30
PSM,31,15
PSM,32,1
PSM,33,3
PSM,34,3
PSM,35,1
PSM,36,80
PSM,37,1
PSM,38,1
PSM,39,1
PSM,40,3
PSM,41,43
PSM,42,2
PSM,43,397
PSM,44,24
PSM,45,40
PSM,46,817
PSM,47,813
PSM,48,3
PSM,49,1000
PSM,50,3
PSM,51,4852
PSM,52,2
PSM,53,2
PSM,54,16
PSM,55,20
PSM,56,41
PSM,57,24
PSM,58,38
PSM,59,50
PSM,60,111
PSM,61,1
PSM,62,3
PSM,63,1
PSM,64,18
PSM,65,1
PSM,66,157
PSM,67,399
PSM,68,1228
PSM,69,270
PSM,70,1
PSM,71,3120
SWaT,0,940
SWaT,1,443
SWaT,2,383
SWaT,3,390
SWaT,4,196
SWaT,5,429
SWaT,6,964
SWaT,7,721
SWaT,8,721
SWaT,9,233
SWaT,10,431
SWaT,11,276
SWaT,12,717
SWaT,13,259
SWaT,14,395
SWaT,15,721
SWaT,16,463
SWaT,17,697
SWaT,18,321
SWaT,19,612
SWaT,20,1445
