chan_id,start,end,anomaly_class,num_values
M-6,1850,2030,point,2049
M-1,1110,2250,contextual,2277
M-2,1110,2250,contextual,2277
S-2,900,910,point,1827
P-10,4590,4720,point,6100
T-4,1172,1240,point,2217
T-5,1200,1225,point,2218
F-7,1250,1450,contextual,5054
F-7,2670,2790,contextual,5054
F-7,3325,3425,contextual,5054
M-3,1250,1500,contextual,2127
M-4,1250,1500,contextual,2038
M-5,1250,1550,contextual,2303
P-15,1390,1410,point,2856
C-1,550,750,point,2264
C-1,2100,2210,contextual,2264
C-2,290,390,point,2051
C-2,1540,1575,contextual,2051
T-12,630,750,contextual,2430
T-13,690,790,contextual,2430
T-13,1900,2050,contextual,2430
F-4,2700,2770,point,3422
F-5,3550,3700,point,3922
D-14,1630,1650,point,2625
D-14,1800,2000,point,2625
T-9,780,810,point,1096
T-9,890,970,point,1096
P-14,4575,4755,point,6100
T-8,870,930,contextual,1519
T-8,1330,1370,contextual,1519
P-11,1778,1898,point,3535
P-11,1238,1344,point,3535
D-15,1500,2140,point,2158
D-16,600,1250,contextual,2191
M-7,940,1040,point,2156
F-8,1950,2486,contextual,2487
