chan_id,start,end,anomaly_class,num_values
P-1,2149,2349,contextual,8505
P-1,4536,4844,contextual,8505
P-1,3539,3779,contextual,8505
S-1,5300,5747,point,7331
E-1,5000,5030,contextual,8516
E-1,5610,6086,contextual,8516
E-2,5598,6995,point,8532
E-3,5094,8306,point,8307
E-4,5450,8261,point,8354
E-5,5600,5920,point,8294
E-6,5610,5675,point,8300
E-7,5394,5674,point,8310
E-8,5400,6022,point,8532
E-9,5550,5900,point,8302
E-10,5000,5050,contextual,8505
E-10,5601,5871,contextual,8505
E-11,5000,5050,contextual,8514
E-11,5614,5857,contextual,8514
E-12,5610,6141,contextual,8512
E-12,5000,5050,contextual,8512
E-13,5309,5410,contextual,8640
E-13,5600,5640,contextual,8640
E-13,6449,6569,contextual,8640
A-1,4690,4774,point,8640
D-1,5250,8508,point,8509
P-2,5350,6575,point,8209
P-3,5401,6736,point,8493
D-2,4319,8536,point,8595
D-3,5225,8500,point,8640
D-4,5225,8472,point,8473
A-2,4450,4560,contextual,7914
A-3,4575,4760,contextual,8205
A-4,4550,4660,contextual,8080
G-1,4770,4890,contextual,8469
G-2,4030,4070,point,7361
D-5,4800,4850,point,7628
D-6,4870,4950,point,7884
D-7,4940,7641,point,7642
F-1,5392,5492,point,8584
P-4,950,1080,point,7783
P-4,2150,2350,point,7783
P-4,4770,4880,point,7783
G-3,4200,4250,point,7907
T-1,2399,3898,point,8612
T-1,6550,6585,contextual,8612
T-2,6840,8624,point,8625
D-8,4370,4420,point,7874
D-9,6250,7405,point,7406
F-2,5669,8625,point,8626
G-4,4690,4720,point,7632
T-3,2098,2180,point,8579
T-3,5200,5300,point,8579
D-11,4270,4330,point,7431
D-12,5178,7917,point,7918
B-1,5060,5130,point,8044
G-6,5600,5700,point,8640
G-7,3650,3750,contextual,8029
G-7,5050,5100,point,8029
G-7,7560,7675,contextual,8029
P-7,4950,6600,contextual,8071
R-1,4510,4590,point,7244
A-5,2750,2800,point,4693
A-6,1890,1930,point,4453
A-7,6200,8600,contextual,8631
D-13,5070,5230,point,7663
P-2,5300,6420,point,8209
A-8,4569,8374,contextual,8375
A-9,4569,8433,contextual,8434
F-3,5600,5640,contextual,8376
